AL_CDA,AL_CDN,ICAO,AIRLINE,COUNTRY
KU,229,KAC,Kuwait Airways,Kuwait
KX,378,CAY,Cayman Airways,Cayman Is
KY,980,EQL,Air Sao Tome e Principe,Sao Tome & Principe
KZ,722,LER,Linea Aerea,Venezuela
L2,344,LYC,Lynden Air Cargo,United States
L3,947,JOS,DHL de Guatemala,Guatemala
L4,372,LDI,Lauda Air Italy,Italy
L6,900,AMI,Air Maldives,Maldives
L9,109,MLI,Air Mali S.A.,Mali
LA,45,LAN,LAN Airlines,Chile
LB,51,LLB,Lloyd Aereo Boliviano (LAB),Bolivia
LC,122,LOG,Loganair,United Kingdom
LE,959,LHS,Laparkan Airways,United States
LG,149,LGL,Luxair,Luxembourg
LJ,690,SLA,Sierra National Airlines,Sierra Leone
LL,902,GRO,Lineas Aereas Allegro,Mexico
LN,148,LAA,Libyan Airlines,Libya
DT,118,DTA,TAAG Angola Airlines,Angola
VI,381,VES,Vieques Air Link,Puerto Rico
VL,699,VIM,Air VIA Bulgarian Airways,Bulgaria
VO,734,TYR,Tyrolean Airways/Austrian Arrows,Austria
VR,696,TCV,Transportes Aereos de Cabo Verde (TACV),Cape Verde
VT,135,VTA,Air Tahiti,French Polynesia
VV,870,AEW,AeroSvit Airlines,Ukraine
VX,137,AES,ACES-Aerolineas Central de Colombia,Colombia
W3,850,FYH,Flyhy Cargo Airlines,Thailand
W8,489,CJT,Cargojet Airways,Canada
WC,282,ISV,Islena Airlines,Honduras
WF,701,WIF,Wideroe Cargo,Norway
WJ,927,LAL,Air Labrador,Canada
WM,295,WIA,Windward Island Airways,Neth. Antilles
WO,468,WOA,World Airways,United States
WR,971,HRH,Royal Tongan Airlines,Tonga
WX,689,BCY,Cityjet,Ireland
X3,483,BKL,Baikal,Russia
XC,918,CLT,Air Caribbean,Neth. Antilles
XF,277,VLK,Vladivostok Air,Russia
XJ,582,MES,Mesaba Aviation,United States
XL,462,LNE,LAN Ecuador,Ecuador
XO,651,CXJ,Xinjiang Airlines,China PRC
XT,824,AXL,KLM Exel,Netherlands
XZ,830,EXY,South African Express Airways,South Africa
Y8,871,YZR,Yangtze River Express Airlines,China PRC
YC,60,FWQ,Flight West Airlines,Australia
YL,511,LLM,Yamal Airlines,Russia
YM,409,MGX,Montenegro Airlines,Serbia
YQ,342,POT,Polet Cargo Airlines,Cyprus
YU,725,ADM,Aerolineas Dominicanas,Dominican Republic
YW,694,ANE,Air Nostrum LAMSA,Spain
Z2,536,STY,Styrian Airlines,Austria
Z5,9,GMG,GMG Airlines,Bangladesh
Z9,509,RZL,Aero Zambia,South Africa
ZC,141,RSN,Royal Swazi National Airways,Swaziland
ZI,439,AAF,Aigle Azur Transport Aeriens,France
AV,134,AVA,Avianca,Colombia
AX,386,AAI,Air Aurora,United States
AZ,55,AZA,Alitalia,Italy
B2,628,BRU,Belavia,Belarus
B4,896,BHO,Bhoja Airlines,Pakistan
BA,125,BAW,British Airways,United Kingdom
